    Year (Census)
    Proportion of populations extant, SE
    Proportion of populations going extinct for the first time in year, SE
    Deterministic growth, Stochastic growth, SE, SD
    Mean population size (across extant populations), SE, SD
    Mean population size (across all populations), SE, SD
    Mean gene diversity (expected heterozygosity), SE, SD
    Mean inbreeding coefficient, SE, SD
    Mean number of alleles, SE, SD
    Mean number of lethal alleles, SE, SD
    Mean time to extinction, SE, SD
    Median time to extinction
Year;PExtant;SE(PExtant);PExtinct;SE(PExtinct);det-r;stoch-r;SE(r);SD(r);N-extant;SE(N-extant);SD(N-extant);N-all;SE(N-all);SD(N-all);GeneDiv;SE(GD);SD(GD);Inbreed;SE(Inbr);SD(Inbr);nAlleles;SE(nAlleles);SD(nAlleles);nLethals;SE(nLethals);SD(nLethals);TE;SE(TE);SD(TE);medianTE
Supplement (1F with 3JF, 3JM) and harvest (2JF, 2JM)
Population 1: MFWS
0; 1.0000; 0.0000; 0.0000; 0.0000; 0.5063;      0;      0;      0; 47.00; 0.00; 0.00; 47.00; 0.00; 0.00; 0.9894; 0.0000; 0.0000; 0.0000; 0.0000; 0.0000; 94.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
1; 1.0000; 0.0000; 0.0000; 0.0000; 0.5063;      0;      0;      0; 86.68; 0.74; 23.48; 86.68; 0.74; 23.48; 0.9856; 0.0000; 0.0012; 0.0000; 0.0000; 0.0000; 90.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
2; 1.0000; 0.0000; 0.0000; 0.0000; 0.5063; 0.6573; 0.0082; 0.2581; 93.68; 0.74; 23.48; 93.68; 0.74; 23.48; 0.9873; 0.0000; 0.0012; 0.0000; 0.0000; 0.0000; 104.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
3; 1.0000; 0.0000; 0.0000; 0.0000; 0.5063;      0;      0;      0; 89.68; 0.74; 23.48; 89.68; 0.74; 23.48; 0.9872; 0.0000; 0.0011; 0.0000; 0.0000; 0.0000; 102.33; 0.07; 2.22; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
4; 1.0000; 0.0000; 0.0000; 0.0000; 0.5063;      0;      0;      0; 85.34; 0.82; 26.06; 85.34; 0.82; 26.06; 0.9865; 0.0000; 0.0009; 0.0000; 0.0000; 0.0000; 96.60; 0.24; 7.68; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
5; 1.0000; 0.0000; 0.0000; 0.0000; 0.5063;      0;      0;      0; 94.90; 0.90; 28.33; 94.90; 0.90; 28.33; 0.9794; 0.0001; 0.0030; 0.0034; 0.0002; 0.0076; 71.23; 0.23; 7.21; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
6; 1.0000; 0.0000; 0.0000; 0.0000; 0.5063; 0.1882; 0.0125; 0.3946; 101.90; 0.90; 28.33; 101.90; 0.90; 28.33; 0.9819; 0.0001; 0.0028; 0.0032; 0.0002; 0.0071; 85.23; 0.23; 7.21; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
7; 1.0000; 0.0000; 0.0000; 0.0000; 0.5063;      0;      0;      0; 97.90; 0.90; 28.33; 97.90; 0.90; 28.33; 0.9817; 0.0001; 0.0027; 0.0031; 0.0002; 0.0070; 83.58; 0.24; 7.72; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
8; 1.0000; 0.0000; 0.0000; 0.0000; 0.5063;      0;      0;      0; 93.08; 0.97; 30.69; 93.08; 0.97; 30.69; 0.9811; 0.0001; 0.0026; 0.0032; 0.0002; 0.0073; 80.17; 0.28; 8.93; 0.00; 0.00; 0.00; 0.00; 0.00; 0.00; 0
